date_gmt,open,high,low,close,volume
2022-05-10 00:00:00+00:00,1.05635,1.05647,1.05559,1.05566,1233490009.3077002
2022-05-10 00:15:00+00:00,1.05567,1.05625,1.05536,1.0561,2519210029.6021004
2022-05-10 00:30:00+00:00,1.05609,1.05654,1.0559,1.05603,2022949996.9482
2022-05-10 00:45:00+00:00,1.05604,1.05644,1.05563,1.05591,2623300018.3104
2022-05-10 01:00:00+00:00,1.05591,1.0568,1.05555,1.05676,3237470031.7384
2022-05-10 01:15:00+00:00,1.05674,1.05692,1.05631,1.05641,2088210006.7142
2022-05-10 01:30:00+00:00,1.05638,1.05678,1.05605,1.05618,2261059997.5585003
2022-05-10 01:45:00+00:00,1.05619,1.05681,1.05596,1.05628,2481919982.9101
2022-05-10 02:00:00+00:00,1.05628,1.05719,1.05601,1.0571,2644889999.3897004
2022-05-10 02:15:00+00:00,1.05712,1.05782,1.05695,1.05772,2014270008.0872
2022-05-10 02:30:00+00:00,1.05771,1.05801,1.0572,1.05745,1837330001.8311
2022-05-10 02:45:00+00:00,1.05744,1.05766,1.05699,1.05729,1616900001.5259
2022-05-10 03:00:00+00:00,1.05728,1.05749,1.05705,1.05716,1126949998.8556
2022-05-10 03:15:00+00:00,1.05713,1.05728,1.05696,1.0571,1175299995.4225
2022-05-10 03:30:00+00:00,1.05711,1.05765,1.05701,1.05755,904799997.3296
2022-05-10 03:45:00+00:00,1.05753,1.05799,1.05742,1.0579,1281210018.1577
2022-05-10 04:00:00+00:00,1.0579,1.05812,1.05774,1.05781,1311870006.5612998
2022-05-10 04:15:00+00:00,1.05783,1.05801,1.05746,1.05747,816909996.0327
2022-05-10 04:30:00+00:00,1.05748,1.05812,1.05742,1.05783,656509994.9836999
2022-05-10 04:45:00+00:00,1.05781,1.05805,1.05759,1.05759,626689996.7195998
2022-05-10 05:00:00+00:00,1.05758,1.05792,1.05741,1.05787,1370039972.3052
2022-05-10 05:15:00+00:00,1.05786,1.05807,1.0574,1.05794,2001579986.5721
2022-05-10 05:30:00+00:00,1.05793,1.05856,1.05767,1.05826,1725110004.4252
2022-05-10 05:45:00+00:00,1.05826,1.05847,1.05761,1.05768,1578920013.4276
2022-05-10 06:00:00+00:00,1.05768,1.05795,1.05702,1.05736,2702759979.2482
2022-05-10 06:15:00+00:00,1.05735,1.05756,1.05666,1.05668,2088690032.9589
2022-05-10 06:30:00+00:00,1.05668,1.05681,1.05597,1.05637,1870319976.8067
2022-05-10 06:45:00+00:00,1.05641,1.05682,1.05596,1.05606,2128910011.2915
2022-05-10 07:00:00+00:00,1.05605,1.05634,1.05514,1.05595,3209660018.9207
2022-05-10 07:15:00+00:00,1.05595,1.05675,1.05549,1.05633,2856820007.3242
2022-05-10 07:30:00+00:00,1.05633,1.05785,1.05574,1.0576,3243859985.3516
2022-05-10 07:45:00+00:00,1.05759,1.05779,1.05572,1.05573,2980130027.7709994
2022-05-10 08:00:00+00:00,1.05573,1.05711,1.05568,1.05645,2733970039.3676004
2022-05-10 08:15:00+00:00,1.05645,1.05693,1.05542,1.05589,2322090026.8558
2022-05-10 08:30:00+00:00,1.05589,1.05675,1.05589,1.05665,2611429985.0463004
2022-05-10 08:45:00+00:00,1.05666,1.05758,1.05649,1.05727,2059080001.8310008
2022-05-10 09:00:00+00:00,1.05729,1.0576,1.05705,1.05719,2101739997.8638
2022-05-10 09:15:00+00:00,1.0572,1.05731,1.05587,1.05611,1925130004.8829
2022-05-10 09:30:00+00:00,1.05612,1.05638,1.05523,1.05553,2987319984.4359
2022-05-10 09:45:00+00:00,1.05555,1.056,1.05374,1.05396,5828029968.261701
2022-05-10 10:00:00+00:00,1.05395,1.05439,1.05357,1.05439,3304670043.9454
2022-05-10 10:15:00+00:00,1.05438,1.05495,1.05412,1.05441,3499329994.201601
2022-05-10 10:30:00+00:00,1.05442,1.05512,1.05432,1.05467,2956500015.2588
2022-05-10 10:45:00+00:00,1.05467,1.05538,1.05386,1.05535,3577080001.8313003
2022-05-10 11:00:00+00:00,1.05535,1.0557,1.05471,1.0557,2623019981.3843
2022-05-10 11:15:00+00:00,1.05569,1.05627,1.05553,1.05611,2895159950.2564
2022-05-10 11:30:00+00:00,1.05612,1.05669,1.05573,1.05575,2202939990.9974003
2022-05-10 11:45:00+00:00,1.05574,1.05634,1.05503,1.05535,2953059989.9291
2022-05-10 12:00:00+00:00,1.05533,1.05564,1.05489,1.05546,2212660003.6621
2022-05-10 12:15:00+00:00,1.05547,1.05601,1.05488,1.05572,2636159965.5151
2022-05-10 12:30:00+00:00,1.05572,1.05615,1.05514,1.0554,2604650009.1554
2022-05-10 12:45:00+00:00,1.05541,1.0556,1.05485,1.05519,3289649986.2671003
2022-05-10 13:00:00+00:00,1.05519,1.05752,1.05508,1.05658,3961759971.618601
2022-05-10 13:15:00+00:00,1.05657,1.05665,1.05531,1.05587,2992760009.7655005
2022-05-10 13:30:00+00:00,1.05587,1.05618,1.05453,1.05453,5075059951.7822
2022-05-10 13:45:00+00:00,1.05453,1.05566,1.05415,1.05441,5811260009.7657
2022-05-10 14:00:00+00:00,1.05442,1.05538,1.05355,1.05479,8792239959.716799
2022-05-10 14:15:00+00:00,1.05478,1.05515,1.05354,1.05403,6499780036.926399
2022-05-10 14:30:00+00:00,1.05406,1.0543,1.05322,1.05381,6413449920.654399
2022-05-10 14:45:00+00:00,1.05381,1.05484,1.05277,1.05413,5033399948.1203
2022-05-10 15:00:00+00:00,1.05411,1.05454,1.05255,1.05305,4426300003.0516
2022-05-10 15:15:00+00:00,1.05307,1.05415,1.05285,1.05373,3966200012.2069
2022-05-10 15:30:00+00:00,1.05376,1.0547,1.05339,1.05423,3871810043.335001
2022-05-10 15:45:00+00:00,1.05423,1.05432,1.05294,1.05311,3488290016.1746
2022-05-10 16:00:00+00:00,1.05312,1.05446,1.05266,1.05401,6972479995.727699
2022-05-10 16:15:00+00:00,1.054,1.05445,1.05371,1.05416,3506429985.0464
2022-05-10 16:30:00+00:00,1.05415,1.05431,1.05351,1.05412,3331780021.6675
2022-05-10 16:45:00+00:00,1.05413,1.0547,1.0534,1.0534,2995560012.8174
2022-05-10 17:00:00+00:00,1.0534,1.05379,1.0529,1.05314,4442039970.3979
2022-05-10 17:15:00+00:00,1.05316,1.05328,1.05266,1.05324,2638619979.8583
2022-05-10 17:30:00+00:00,1.05325,1.05366,1.05287,1.0535,2624039985.6567
2022-05-10 17:45:00+00:00,1.05349,1.05416,1.05346,1.05376,1853420013.4279
2022-05-10 18:00:00+00:00,1.05378,1.05402,1.05357,1.05375,1487159994.1253
2022-05-10 18:15:00+00:00,1.05374,1.05384,1.05321,1.05326,2725580009.4605
2022-05-10 18:30:00+00:00,1.05325,1.0535,1.05278,1.05346,2225430019.3784
2022-05-10 18:45:00+00:00,1.05344,1.05354,1.05303,1.05309,2549009979.2481003
2022-05-10 19:00:00+00:00,1.0531,1.05388,1.05308,1.05358,1420769992.8283
2022-05-10 19:15:00+00:00,1.05357,1.05375,1.05322,1.05337,1027120006.5612
2022-05-10 19:30:00+00:00,1.05338,1.05353,1.05291,1.05301,727770002.3651999
2022-05-10 19:45:00+00:00,1.05301,1.05358,1.05284,1.05357,607189996.7194
2022-05-10 20:00:00+00:00,1.05356,1.05359,1.05278,1.05287,321760000.7055999
2022-05-10 20:15:00+00:00,1.05287,1.05318,1.05287,1.05306,255999998.927
2022-05-10 20:30:00+00:00,1.05308,1.05317,1.053,1.05303,410599998.71260005
2022-05-10 20:45:00+00:00,1.05306,1.05313,1.05282,1.05309,630279994.0109
2022-05-10 21:00:00+00:00,1.05314,1.05377,1.0531,1.05327,155130000.2337
2022-05-10 21:15:00+00:00,1.05326,1.05336,1.05301,1.05317,51060000.1216
2022-05-10 21:30:00+00:00,1.0531,1.05329,1.05299,1.05317,920859995.365
2022-05-10 21:45:00+00:00,1.05317,1.05327,1.05306,1.05315,116279999.0176
2022-05-10 22:00:00+00:00,1.05319,1.05329,1.05303,1.05317,580420001.0299
2022-05-10 22:15:00+00:00,1.05316,1.05342,1.0531,1.0534,1121320003.5094
2022-05-10 22:30:00+00:00,1.05341,1.05355,1.05336,1.05349,2152479997.9923
2022-05-10 22:45:00+00:00,1.0535,1.05352,1.05331,1.05335,1445529997.8257
2022-05-10 23:00:00+00:00,1.05338,1.05341,1.05323,1.05333,1134179997.4442
2022-05-10 23:15:00+00:00,1.05333,1.05348,1.0532,1.05348,794559999.8238001
2022-05-10 23:30:00+00:00,1.05348,1.05349,1.05299,1.05322,1378919967.6514
2022-05-10 23:45:00+00:00,1.05323,1.05324,1.05292,1.05294,1136470005.0354
2022-05-11 00:00:00+00:00,1.05293,1.05332,1.05273,1.05323,2650590011.5968003
2022-05-11 00:15:00+00:00,1.05325,1.0534,1.05313,1.05329,2607690010.0710006
2022-05-11 00:30:00+00:00,1.05329,1.0537,1.05326,1.05365,2856659996.0327
2022-05-11 00:45:00+00:00,1.05363,1.05363,1.05315,1.05317,3285659980.774
2022-05-11 01:00:00+00:00,1.05318,1.0533,1.05264,1.05268,2234090042.1145
2022-05-11 01:15:00+00:00,1.05273,1.05313,1.05259,1.0531,1507800010.6811
